movie_name,soundtrack_name,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Forrest Gump,Blowin' in the Wind ,0.679,0.282,0.0285,0.468,0.0,0.189,0.251,108.043
Forrest Gump,Land of 1000 Dances ,0.618,0.588,0.0735,0.0128,0.0266,0.351,0.768,86.903
Forrest Gump,Fortunate Son ,0.629,0.619,0.0315,0.00524,0.0188,0.109,0.88,133.005
Forrest Gump,I Can't Help Myself (Sugar Pie Honey Bunch) ,0.667,0.599,0.0291,0.245,0.0,0.107,0.971,127.935
Forrest Gump,Respect ,0.608,0.513,0.0467,0.793,1.39e-05,0.107,0.796,91.946
Forrest Gump,Rainy Day Women #12 & 35 ,0.402,0.642,0.0406,0.466,0.0,0.0556,0.548,94.967
Forrest Gump,Sloop John B ,0.567,0.745,0.0264,0.402,0.0,0.0873,0.903,125.575
Forrest Gump,All Along The Watchtower ,0.701,0.417,0.0329,0.0888,0.000648,0.375,0.186,95.003
Forrest Gump,Soul Kitchen ,0.11,0.122,0.038,0.958,0.871,0.0758,0.039,75.766
Forrest Gump,California Dreamin' ,0.589,0.0871,0.0411,0.988,0.941,0.114,0.302,104.459
Forrest Gump,For What It's Worth ,0.683,0.486,0.0352,0.605,0.191,0.0763,0.905,98.973
Forrest Gump,What the World Needs Now is Love ,0.681,0.206,0.031,0.544,0.0,0.088,0.49,107.81
Forrest Gump,Webster's Boomer ,0.608,0.513,0.0467,0.793,1.39e-05,0.107,0.796,91.946
Forrest Gump,"Hello, I Love You ",0.608,0.513,0.0467,0.793,1.39e-05,0.107,0.796,91.946
Forrest Gump,People Are Strange ,0.608,0.513,0.0467,0.793,1.39e-05,0.107,0.796,91.946
Forrest Gump,Break On Through (To the Other Side) ,0.639,0.105,0.0607,0.993,0.91,0.0618,0.455,210.044
Forrest Gump,Mrs. Robinson ,0.608,0.513,0.0467,0.793,1.39e-05,0.107,0.796,91.946
Forrest Gump,Volunteers ,0.506,0.831,0.0342,0.348,0.0,0.375,0.796,106.786
Forrest Gump,"Hey, Joe ",0.389,0.636,0.0336,0.00218,0.00409,0.0439,0.49,85.973
Forrest Gump,Where Have All the Flowers Gone? ,0.11,0.122,0.038,0.958,0.871,0.0758,0.039,75.766
Forrest Gump,Let's Get Together ,0.538,0.631,0.0249,0.355,0.00266,0.0708,0.616,102.956
Forrest Gump,San Francisco (Be Sure to Wear Flowers in Your Hair) ,0.566,0.505,0.0283,0.428,5.3e-06,0.0927,0.649,113.145
Forrest Gump,"Turn, Turn, Turn! (To Everything There is a Season) ",0.44,0.804,0.0384,0.0407,2.89e-05,0.0404,0.768,122.046
Forrest Gump,Aquarius ,0.292,0.728,0.0404,0.404,0.00214,0.105,0.524,118.23
Forrest Gump,Joy to the World ,0.39,0.0858,0.0383,0.957,0.152,0.0883,0.0662,100.172
Forrest Gump,Everybody's Talkin' ,0.511,0.538,0.0293,0.22,2.53e-06,0.6,0.655,124.617
Forrest Gump,Silent Night ,0.48,0.173,0.0288,0.954,0.901,0.0991,0.117,104.019
Forrest Gump,Stoned Love ,0.11,0.122,0.038,0.958,0.871,0.0758,0.039,75.766
Forrest Gump,Thanks for the Memory ,0.11,0.122,0.038,0.958,0.871,0.0758,0.039,75.766
Forrest Gump,Love Her Madly ,0.608,0.513,0.0467,0.793,1.39e-05,0.107,0.796,91.946
Forrest Gump,Let's Work Together ,0.608,0.513,0.0467,0.793,1.39e-05,0.107,0.796,91.946
Forrest Gump,Raindrops Keep Fallin' on My Head ,0.578,0.434,0.0471,0.802,0.00102,0.277,0.75,106.364
Forrest Gump,Tie a Yellow Ribbon 'Round the Ole Oak Tree ,0.559,0.615,0.0473,0.283,0.0,0.0957,0.68,87.601
Forrest Gump,Jesus on the Mainline ,0.228,0.00911,0.0332,0.923,0.0515,0.16,0.257,95.81
Forrest Gump,Get Down Tonight ,0.629,0.724,0.0269,0.011,0.00406,0.0989,0.926,111.59
Forrest Gump,Free Bird ,0.232,0.756,0.0477,0.00913,0.00316,0.682,0.497,115.325
Forrest Gump,Mr. President (Have Pity on the Working Man) ,0.11,0.122,0.038,0.958,0.871,0.0758,0.039,75.766
Forrest Gump,My Rock ,0.608,0.513,0.0467,0.793,1.39e-05,0.107,0.796,91.946
Forrest Gump,Sweet Home Alabama ,0.596,0.605,0.0255,0.181,0.000331,0.0863,0.886,97.798
Forrest Gump,Plant My Feet on Higher Ground ,0.11,0.122,0.038,0.958,0.871,0.0758,0.039,75.766
Forrest Gump,I've Got a New Home ,0.608,0.513,0.0467,0.793,1.39e-05,0.107,0.796,91.946
Forrest Gump,It Keeps You Runnin' ,0.608,0.513,0.0467,0.793,1.39e-05,0.107,0.796,91.946
Forrest Gump,Running On Empty ,0.537,0.81,0.032,0.0305,0.000113,0.283,0.406,136.91
Forrest Gump,I've Got to Use My Imagination ,0.881,0.926,0.0424,0.161,0.0,0.0595,0.965,121.458
Forrest Gump,Go Your Own Way ,0.597,0.812,0.0315,0.0219,0.00106,0.102,0.823,135.68
Forrest Gump,On The Road Again ,0.731,0.716,0.0417,0.687,0.000882,0.597,0.777,111.281
Forrest Gump,Against The Wind ,0.674,0.771,0.0246,0.28,0.0318,0.133,0.718,109.618
Fight Club,Coffee Shop Zak ,0.249,0.651,0.0466,0.0047,0.0125,0.258,0.0894,165.022
Fight Club,Svarga ,0.558,0.469,0.0439,0.498,0.0472,0.0762,0.753,122.979
Fight Club,Girl From Ypsilanti ,0.679,0.333,0.0264,0.612,0.947,0.131,0.639,109.136
Fight Club,Cafeteria ,0.701,0.9,0.129,0.00158,0.946,0.626,0.506,109.135
Fight Club,Smoke Stack ,0.661,0.342,0.043,0.844,0.000128,0.26,0.588,146.118
Fight Club,Forbidden To Love ,0.32,0.525,0.0408,0.321,0.0,0.165,0.147,119.215
Fight Club,Easy Smack It Up ,0.612,0.273,0.0308,0.954,0.926,0.111,0.241,78.052
Fight Club,Splended & 4M15 ,0.612,0.273,0.0308,0.954,0.926,0.111,0.241,78.052
Fight Club,Goin' Out West ,0.612,0.273,0.0308,0.954,0.926,0.111,0.241,78.052
Fight Club,"No Love, No Nothin' ",0.407,0.323,0.0351,0.934,0.0,0.449,0.464,77.05
Fight Club,Theme from Valley of the Dolls ,0.468,0.235,0.0257,0.751,0.00132,0.136,0.201,84.515
Fight Club,KDFW News Theme ,0.612,0.273,0.0308,0.954,0.926,0.111,0.241,78.052
Fight Club,Tzigany Waltz ,0.427,0.452,0.0468,0.0193,0.00284,0.0759,0.276,162.672
Fight Club,Where Is My Mind ,0.548,0.421,0.0311,0.00667,0.000434,0.19,0.274,163.658
Inception,"Non, je ne Regrette rien ",0.301,0.419,0.0326,0.735,0.0,0.247,0.398,130.599
Inception,Aboun Salehoun ,0.518,0.433,0.0313,0.0711,0.79,0.42,0.0892,126.017
The Lord of the Rings: The Two Towers,Gollum's Song ,0.125,0.164,0.0361,0.905,0.0283,0.0903,0.0377,80.453
The Lord of the Rings: The Two Towers,Evenstar ,0.122,0.0407,0.0457,0.96,0.847,0.104,0.0342,74.418
The Lord of the Rings: The Two Towers,Breath of Life ,0.142,0.044,0.038,0.928,0.87,0.112,0.0364,73.724
The Lord of the Rings: The Two Towers,Isengard Unleashed ,0.0758,0.426,0.0422,0.728,0.941,0.149,0.0616,76.893
The Lord of the Rings: The Two Towers,Farewell to Lorien ,0.0703,0.0789,0.0495,0.957,0.889,0.109,0.0313,75.953
Star Wars: Episode V - The Empire Strikes Back,It looks like we don't have any Soundtracks for this title yet.,0.531,0.289,0.0316,0.819,0.721,0.191,0.15,104.233
The Matrix,Dissolved Girl ,0.646,0.602,0.0281,0.0351,0.819,0.0635,0.662,131.994
The Matrix,Dragula (Hot Rod Herman Mix) ,0.431,0.557,0.0319,0.000581,0.845,0.144,0.0395,102.009
The Matrix,Leave You Far Behind (Lunatics Roller Coaster Mix) ,0.431,0.557,0.0319,0.000581,0.845,0.144,0.0395,102.009
The Matrix,Mindfields ,0.431,0.557,0.0319,0.000581,0.845,0.144,0.0395,102.009
The Matrix,Prime Audio Soup ,0.431,0.557,0.0319,0.000581,0.845,0.144,0.0395,102.009
The Matrix,Clubbed To Death (Kurayamino Mix) ,0.431,0.557,0.0319,0.000581,0.845,0.144,0.0395,102.009
The Matrix,Minor Swing ,0.58,0.47,0.168,0.933,0.743,0.098,0.738,202.376
The Matrix,Begin the Run ,0.434,0.568,0.0318,0.000509,0.849,0.151,0.039,102.007
The Matrix,I'm Beginning to See the Light ,0.786,0.16,0.0762,0.948,0.0,0.437,0.46,112.64
The Matrix,Spybreak (Short One) ,0.513,0.937,0.0443,4.99e-05,0.872,0.132,0.367,127.886
The Matrix,Wake Up ,0.431,0.557,0.0319,0.000581,0.845,0.144,0.0395,102.009
The Matrix,Rock is Dead ,0.6,0.431,0.0379,0.0113,0.0215,0.206,0.115,130.1
Goodfellas,Rags to Riches ,0.409,0.435,0.0453,0.907,7.17e-06,0.0559,0.567,78.136
Goodfellas,Can't We Be Sweethearts ,0.423,0.423,0.0354,0.696,0.0,0.0812,0.889,203.938
Goodfellas,Hearts of Stone ,0.162,0.61,0.0627,0.13,0.128,0.106,0.0601,139.974
Goodfellas,Sincerely ,0.354,0.862,0.0721,0.000805,7.68e-05,0.0307,0.816,200.007
Goodfellas,Firenze Sogna ,0.51,0.344,0.0464,0.515,0.912,0.415,0.529,152.756
Goodfellas,Speedo ,0.583,0.517,0.0482,0.277,0.0,0.0993,0.947,125.691
Goodfellas,Parlami d'Amore Mariù ,0.207,0.171,0.0338,0.89,0.000704,0.28,0.11,93.131
Goodfellas,Stardust ,0.263,0.324,0.0338,0.676,0.000278,0.211,0.213,109.85
Goodfellas,This World We Live In ,0.585,0.488,0.211,0.51,0.0,0.0958,0.256,119.19
Goodfellas,Playboy ,0.693,0.711,0.193,0.0106,0.0,0.241,0.191,80.57
Goodfellas,It's Not for Me to Say ,0.467,0.26,0.0287,0.6,1.78e-06,0.103,0.351,76.675
