,name,year,song_name,written_by,performed_by,composed_by,lyrics_by,written_performed_by,music_by,courtesy_of,conducted_by,libretto_by,under_license_from
1468,Casino,1995,(I Can't Get No) Satisfaction ,Mick Jagger & Keith Richards ,The Rolling Stones ,NA,NA,NA,NA,NA,NA,NA,NA
1469,Casino,1995,The 'In' Crowd ,Billy Page ,Ramsey Lewis ,NA,NA,NA,NA,MCA Records ,NA,NA,NA
1470,Casino,1995,The 'In' Crowd ,Billy Page ,Dobie Gray ,NA,NA,NA,NA,MCA Records ,NA,NA,NA
1471,Casino,1995,Compared To What ,Gene McDaniels (as Eugene McDaniels) ,Les McCann & Eddie Harris ,NA,NA,NA,NA,Atlantic Recording Corp. ,NA,NA,NA
1472,Casino,1995,Slippin' and Slidin' ,"Little Richard (as Richard Penniman), Albert Collins, James Smith, Eddie Bo (as Edwin Bocage) ",Little Richard ,NA,NA,NA,NA,"Specialty Records, Inc. ",NA,NA,NA
1473,Casino,1995,Love Is Strange ,Sylvia Robinson & Mickey Baker ,Mickey & Sylvia (as Mickey and Sylvia) ,NA,NA,NA,NA,the RCA Records Label of BMG Music ,NA,NA,NA
1474,Casino,1995,Heart of Stone ,Mick Jagger & Keith Richards ,The Rolling Stones ,NA,NA,NA,NA,NA,NA,NA,NA
1475,Casino,1995,Love Is The Drug ,Bryan Ferry & Andy Mackay (as Andrew MacKay) ,Roxy Music ,NA,NA,NA,NA,Reprise Records ,NA,NA,NA
1476,Casino,1995,Nel Blu Dipinto Di Blu (Volare) ,Domenico Modugno and Franco Migliacci ,NA,NA,NA,NA,NA,Carosello Cemed S.R.L. ,NA,NA,NA
1477,Casino,1995,Takes Two to Tango ,Al Hoffman & Dick Manning ,Ray Charles & Betty Carter ,NA,NA,NA,NA,"Ray Charles Enterprises, Inc. ",NA,NA,NA
1478,Casino,1995,How High The Moon ,Nancy Hamilton & Morgan Lewis ,Les Paul & Mary Ford ,NA,NA,NA,NA,Capitol Records ,NA,NA,CEMA Special Markets 
1479,Casino,1995,I Ain't Superstitious ,Willie Dixon ,Jeff Beck ,NA,NA,NA,NA,Epic Records ,NA,NA,NA
1480,Casino,1995,Happy Birthday to You ,Patty S. Hill (as Patty) and Mildred J. Hill (as Mildred Hill) ,NA,NA,NA,NA,NA,NA,NA,NA,NA
1481,Casino,1995,Working In The Coal Mine ,Allen Toussaint ,Lee Dorsey ,NA,NA,NA,NA,"Artista Records, Inc. ",NA,NA,NA
1482,Casino,1995,Unforgettable ,Irving Gordon ,Dinah Washington ,NA,NA,NA,NA,Verve Records ,NA,NA,NA
1483,Casino,1995,Stardust ,Hoagy Carmichael ,NA,NA,NA,NA,NA,The RCA Records Label of BMG Music ,NA,NA,NA
1484,Casino,1995,Stardust ,Hoagy Carmichael and Mitchell Parish ,NA,NA,NA,NA,NA,The RCA Records Label of BMG Music ,NA,NA,NA
1485,Casino,1995,What A Difference A Day Makes ,Stanley Adams & María Grever (as Maria Grever) ,Dinah Washington ,NA,NA,NA,NA,Verve Records ,NA,NA,NA
1486,Casino,1995,I'll Take You There ,Al Bell ,The Staple Singers ,NA,NA,NA,NA,"Fantasy, Inc. ",NA,NA,NA
1487,Casino,1995,Love Me the Way I Love You ,Charles Tobias ,Jerry Vale ,NA,NA,NA,NA,The Robert Vale Record Co. ,NA,NA,NA
1488,Casino,1995,Let's Start All Over Again ,Elsa Byrd & Paul Winley ,The Paragons ,NA,NA,NA,NA,Collectable Records ,NA,NA,NA
1489,Casino,1995,Sweet Virginia ,Mick Jagger & Keith Richards ,The Rolling Stones ,NA,NA,NA,NA,Promotone B.V. ,NA,NA,NA
1490,Casino,1995,Basin Street Blues/When It's Sleepy Time Down South ,"Spencer Williams / Clarence Muse, Leon René (as Leon Rene), Otis René ",Louis Prima ,NA,NA,NA,NA,Capitol Records ,NA,NA,CEMA Special Markets 
1491,Casino,1995,Stella By Starlight ,Ned Washington & Victor Young ,Ray Charles ,NA,NA,NA,NA,"Ray Charles Enterprises, Inc. ",NA,NA,NA
1492,Casino,1995,Boogaloo Down Broadway ,Jesse James ,The Fantastic Johnny C ,NA,NA,NA,NA,Phil - L.A. of Soul Records ,NA,NA,NA
1493,Casino,1995,Sweet Dreams ,Don Gibson ,Emmylou Harris ,NA,NA,NA,NA,Reprise Records ,NA,NA,NA
1494,Casino,1995,Can't You Hear Me Knocking ,Mick Jagger & Keith Richards ,The Rolling Stones ,NA,NA,NA,NA,Promotone B.V. ,NA,NA,NA
1495,Casino,1995,Toad ,Ginger Baker (as Peter Edward Baker) ,Cream ,NA,NA,NA,NA,NA,NA,NA,NA
1496,Casino,1995,Those Were The Days ,Ginger Baker and Pete Brown (as Peter Constantine Brown) ,Cream ,NA,NA,NA,NA,PolyGram International Music BV ,NA,NA,NA
1497,Casino,1995,Hurt ,Jimmie Crane & Al Jacobs ,NA,NA,NA,NA,NA,EMI Records ,NA,NA,CEMA Special Markets 
1498,Casino,1995,The Glory of Love ,Billy Hill ,The Velvetones ,NA,NA,NA,NA,EMI Records ,NA,NA,CEMA Special Markets 
1499,Casino,1995,Nights In White Satin ,Justin Hayward ,The Moody Blues ,NA,NA,NA,NA,Threshold/Polydor/Atlas Records ,NA,NA,NA
1500,Casino,1995,Walk On The Wild Side ,Elmer Bernstein & Mack David ,Jimmy Smith ,NA,NA,NA,NA,Verve Records ,NA,NA,NA
1501,Casino,1995,Gimme Shelter ,Mick Jagger & Keith Richards ,The Rolling Stones ,NA,NA,NA,NA,Promotone B.V. ,NA,NA,NA
1502,Casino,1995,Gimme Shelter ,Mick Jagger & Keith Richards ,The Rolling Stones ,NA,NA,NA,NA,NA,NA,NA,NA
1503,Casino,1995,EEE-O Eleven ,Sammy Cahn and Jimmy Van Heusen ,Sammy Davis Jr. ,NA,NA,NA,NA,NA,NA,NA,NA
1504,Casino,1995,I'll Walk Alone ,Jule Styne & Sammy Cahn ,Don Cornell ,NA,NA,NA,NA,MCA Records ,NA,NA,NA
1505,Casino,1995,Sunrise ,NA,the Chicago Symphony Orchestra ,Richard Strauss ,NA,NA,NA,"RCA Victor Red Seal, a Division of BMG Classics",NA,NA,NA
1506,Casino,1995,That's the Way I Like It ,Harry Wayne Casey and Richard Finch ,NA,NA,NA,NA,NA,NA,NA,NA,NA
1507,Casino,1995,Venus ,Edward H. Marshall ,NA,NA,NA,NA,NA,NA,NA,NA,NA
1508,Casino,1995,Flight of the Bumblebee ,Nikolai Rimsky-Korsakov ,Jascha Heifetz ,NA,NA,NA,NA,"RCA Victor Red Seal, a Division of BMG Classics",NA,NA,NA
1509,Casino,1995,Theme de Camille ,NA,NA,Georges Delerue ,NA,NA,NA,Sidomusic/B. Liechti & Co.,NA,NA,NA
1510,Casino,1995,Whip It ,Mark Mothersbaugh & Gerald Casale (as Gerard Casale) ,Devo ,NA,NA,NA,NA,Warner Bros. Records Inc. ,NA,NA,NA
1511,Casino,1995,Ain't Got No Home ,NA,NA,NA,NA,Clarence 'Frogman' Henry (as Clarence Henry) ,NA,MCA Records ,NA,NA,NA
1512,Casino,1995,I'm Sorry ,Ronnie Self and Dub Allbritten (as Dub Albritten) ,Brenda Lee ,NA,NA,NA,NA,MCA Records ,NA,NA,NA
1513,Casino,1995,Without You ,Pete Ham and Tom Evans ,Harry Nilsson ,NA,NA,NA,NA,the RCA Records Label of BMG Music ,NA,NA,NA
1514,Casino,1995,Go Your Own Way ,Lindsey Buckingham ,Fleetwood Mac ,NA,NA,NA,NA,Warner Bros. Records Inc. ,NA,NA,NA
1515,Casino,1995,I'm Confessin' (That I Love You) ,"Doc Daugherty (as Doc Dougherty), Al Neiburg and Ellis Reynolds ",Louis Prima & Keely Smith ,NA,NA,NA,NA,MCA Records ,NA,NA,NA
1516,Casino,1995,The Thrill Is Gone ,Roy Hawkins & Rick Darnell ,B.B. King ,NA,NA,NA,NA,MCA Records ,NA,NA,NA
1517,Casino,1995,(I Can't Get No) Satisfaction ,NA,Devo ,NA,NA,NA,NA,Warner Bros. Inc. ,NA,NA,NA
1518,Casino,1995,Who Can I Turn To (When Nobody Needs Me) ,Leslie Bricusse & Anthony Newley ,Tony Bennett ,NA,NA,NA,NA,Columbia Records ,NA,NA,NA
1519,Casino,1995,Harbor Lights ,Jimmy Kennedy and Will Grosz (as Hugh Williams) ,The Platters ,NA,NA,NA,NA,Mercury Records ,NA,NA,NA
1520,Casino,1995,The House of the Rising Sun ,NA,The Animals ,NA,NA,NA,NA,NA,NA,NA,NA
1521,Judgment at Nuremberg,1961,Lili Marleen ,NA,NA,NA,Hans Leip (1915) ,NA,Norbert Schultze (1938) ,NA,NA,NA,NA
1522,Judgment at Nuremberg,1961,Liebeslied ,NA,NA,NA,Alfred Perry,NA,Ernest Gold ,NA,NA,NA,NA
1523,Judgment at Nuremberg,1961,Wenn wir marschieren ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1524,Judgment at Nuremberg,1961,Care for Me ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1525,Judgment at Nuremberg,1961,Notre amour ne peur ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1526,Judgment at Nuremberg,1961,"Du, du liegst mir im Herzen ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1527,Judgment at Nuremberg,1961,"Piano Sonata No. 8 in C minor, Op. 13 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1528,Pan's Labyrinth,2006,"Long, Long Time Ago/Hace mucho, mucho tiempo ",Javier Navarrete ,NA,NA,NA,NA,NA,Milan Entertainment,NA,NA,NA
1529,Pan's Labyrinth,2006,The Labyrinth/El laberinto ,Javier Navarrete ,NA,NA,NA,NA,NA,Milan Entertainment,NA,NA,NA
1530,Pan's Labyrinth,2006,"Rose, Dragon/La rosa y el dragón ",Javier Navarrete ,NA,NA,NA,NA,NA,Milan Entertainment,NA,NA,NA
1531,Pan's Labyrinth,2006,The Fairy and the Labyrinth/El hada y el laberinto ,Javier Navarrete ,NA,NA,NA,NA,NA,Milan Entertainment,NA,NA,NA
1532,Pan's Labyrinth,2006,Three Trials/Las tres pruebas ,Javier Navarrete ,NA,NA,NA,NA,NA,Milan Entertainment,NA,NA,NA
1533,Pan's Labyrinth,2006,The Moribund Tree and the Toad/El árbol que muere y el sapo ,Javier Navarrete ,NA,NA,NA,NA,NA,Milan Entertainment,NA,NA,NA
1534,Pan's Labyrinth,2006,Guerilleros ,Javier Navarrete ,NA,NA,NA,NA,NA,Milan Entertainment,NA,NA,NA
1535,Pan's Labyrinth,2006,A Book of Blood/El libro de sangre ,Javier Navarrete ,NA,NA,NA,NA,NA,Milan Entertainment,NA,NA,NA
1536,Pan's Labyrinth,2006,Mercedes Lullaby/Nana de Mercedes ,Javier Navarrete ,NA,NA,NA,NA,NA,Milan Entertainment,NA,NA,NA
1537,Pan's Labyrinth,2006,The Refuge/El refugio ,Javier Navarrete ,NA,NA,NA,NA,NA,Milan Entertainment,NA,NA,NA
1538,Pan's Labyrinth,2006,Not Human/El que no es humano ,Javier Navarrete ,NA,NA,NA,NA,NA,Milan Entertainment,NA,NA,NA
1539,Pan's Labyrinth,2006,The River/El río ,Javier Navarrete ,NA,NA,NA,NA,NA,Milan Entertainment,NA,NA,NA
1540,Pan's Labyrinth,2006,A Tale/Un cuento ,Javier Navarrete ,NA,NA,NA,NA,NA,Milan Entertainment,NA,NA,NA
1541,Pan's Labyrinth,2006,Deep Forest/Bosque profundo ,Javier Navarrete ,NA,NA,NA,NA,NA,Milan Entertainment,NA,NA,NA
1542,Pan's Labyrinth,2006,Waltz of the Mandrake/Vals de la mandrágora ,Javier Navarrete ,NA,NA,NA,NA,NA,Milan Entertainment,NA,NA,NA
1543,Pan's Labyrinth,2006,The Funeral/El funeral ,Javier Navarrete ,NA,NA,NA,NA,NA,Milan Entertainment,NA,NA,NA
1544,Pan's Labyrinth,2006,Mercedes ,Javier Navarrete ,NA,NA,NA,NA,NA,Milan Entertainment,NA,NA,NA
1545,Pan's Labyrinth,2006,Pan and the Full Moon/La luna llena y el Fauno ,Javier Navarrete ,NA,NA,NA,NA,NA,Milan Entertainment,NA,NA,NA
1546,Pan's Labyrinth,2006,Ofelia ,Javier Navarrete ,NA,NA,NA,NA,NA,Milan Entertainment,NA,NA,NA
1547,Pan's Labyrinth,2006,A Princess/Una princesa ,Javier Navarrete ,NA,NA,NA,NA,NA,Milan Entertainment,NA,NA,NA
1548,Pan's Labyrinth,2006,Pan's Labyrinth Lullaby/Nana del laberinto del Fauno ,Javier Navarrete ,NA,NA,NA,NA,NA,Milan Entertainment,NA,NA,NA
1549,Pan's Labyrinth,2006,Soy un pobre presidiario ,"M. Torres Larrode (as Torres Larrode), Rafael de León, C. Cam and Daniel Montorio",NA,NA,NA,NA,NA,NA,NA,NA,NA
1550,Pan's Labyrinth,2006,En los jardines de Granada ,NA,Rafael Medina,NA,NA,NA,NA,NA,NA,NA,NA
1551,Pan's Labyrinth,2006,"Just A Short Time After (Reconstruction pt. 1, 2) ",NA,"The Landau Orchestra Milan Records, 2007",NA,NA,NA,NA,NA,NA,NA,NA
1552,Ran,1985,It looks like we don't have any Soundtracks for this title yet.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1553,A Beautiful Mind,2001,All Love Can Be ,NA,Charlotte Church ,NA,NA,NA,James Horner ,Sony Music Entertainment (UK) Limited,NA,NA,NA
1554,A Beautiful Mind,2001,Columba aspexit ,Hildegard von Bingen (as Hildegard of Bingen) ,Emma Kirkby and Gothic Voices ,NA,NA,NA,NA,"Hyperion Records Limited, London, England",NA,NA,NA
1555,A Beautiful Mind,2001,"Piano Sonata No. 11 in A Major, K. 331 ",Wolfgang Amadeus Mozart Unknown performer,NA,NA,NA,NA,NA,NA,NA,NA,NA
1556,A Beautiful Mind,2001,A Lonely Tear ,NA,NA,NA,NA,NA,Roger Roger (as Eric Swann),NA,NA,NA,NA
1557,The Sixth Sense,1999,I Fall In Love Too Easily ,Sammy Cahn and Jule Styne ,Chet Baker ,NA,NA,NA,NA,"Blue Note Records, a division of Capitol Records, Inc. ",NA,NA,EMI-Capitol Music Special Markets
1558,The Sixth Sense,1999,Come See About Me ,"Brian Holland, Eddie Holland (as Edward Holland Jr.) and Lamont Dozier ",The Supremes ,NA,NA,NA,NA,"Motown Record Company, L.P. ",NA,NA,Universal Music Special Markets
1559,The Sixth Sense,1999,Head ,"Timothy Bircheno, David Benjamin Tomlinson and Tim Gordine ",Tin Star ,NA,NA,NA,NA,Vr Records,NA,NA,NA
1560,The Sixth Sense,1999,Space Cocktail ,Laurent Lombard and Syd Dale ,Laurent Lombard ,NA,NA,NA,NA,Opus I,NA,NA,NA
1561,The Sixth Sense,1999,Unknown Rider ,Travis Bracht and Dudley Taft ,Second Coming ,NA,NA,NA,NA,Capitol Records ,NA,NA,EMI-Capitol Music Special Markets
1562,The Sixth Sense,1999,"Piano Quintet in A Major, Op. 32, D.667, 'Trout' Andante (Tema con Variazoni) ",Franz Schubert ,The Colorado String Quartet ,NA,NA,NA,NA,Laserlight ,NA,NA,NA
1563,The Sixth Sense,1999,Crazy Girl ,Jamie Dunlap and Scott Nickoley,NA,NA,NA,NA,NA,NA,NA,NA,NA
1564,Monty Python and the Holy Grail,1975,Camelot Song (Knights of the Round Table) ,NA,NA,NA,NA,NA,Neil Innes,NA,NA,NA,NA
1565,Monty Python and the Holy Grail,1975,He's Going to Tell ,NA,NA,NA,NA,NA,Neil Innes,NA,NA,NA,NA
1566,Monty Python and the Holy Grail,1975,Big Country ,Keith Papworth ,NA,NA,NA,NA,NA,NA,NA,NA,NA
1567,Monty Python and the Holy Grail,1975,Homeward Bound ,Jack Trombey ,NA,NA,NA,NA,NA,NA,NA,NA,NA
1568,Monty Python and the Holy Grail,1975,God Choir ,Neil Innes ,NA,NA,NA,NA,NA,NA,NA,NA,NA
1569,Monty Python and the Holy Grail,1975,Fanfare ,Neil Innes ,NA,NA,NA,NA,NA,NA,NA,NA,NA
1570,Monty Python and the Holy Grail,1975,Sunrise Music ,Neil Innes ,NA,NA,NA,NA,NA,NA,NA,NA,NA
1571,Monty Python and the Holy Grail,1975,Knights of Ni ,Neil Innes ,NA,NA,NA,NA,NA,NA,NA,NA,NA
1572,Monty Python and the Holy Grail,1975,Sir Robin's Song ,NA,NA,NA,NA,Neil Innes ,NA,NA,NA,NA,NA
1573,Monty Python and the Holy Grail,1975,Magenta ,Roger Webb ,NA,NA,NA,NA,NA,NA,NA,NA,NA
1574,Monty Python and the Holy Grail,1975,Love Theme ,Peter Knight ,NA,NA,NA,NA,NA,NA,NA,NA,NA
1575,Monty Python and the Holy Grail,1975,Starlet in the Starlight ,Kenneth Essex ,NA,NA,NA,NA,NA,NA,NA,NA,NA
1576,Monty Python and the Holy Grail,1975,Monks Chant ,Neil Innes ,NA,NA,NA,NA,NA,NA,NA,NA,NA
1577,Monty Python and the Holy Grail,1975,The Promised Land ,Stanley Black ,NA,NA,NA,NA,NA,NA,NA,NA,NA
1578,Monty Python and the Holy Grail,1975,Ice Floe 9 ,Pierre Arvay ,NA,NA,NA,NA,NA,NA,NA,NA,NA
1579,Monty Python and the Holy Grail,1975,Flying Messenger ,Oliver Armstrong (pseudonym of Graham Whettam) ,NA,NA,NA,NA,NA,NA,NA,NA,NA
1580,Monty Python and the Holy Grail,1975,Countrywide ,Anthony Mawer ,NA,NA,NA,NA,NA,NA,NA,NA,NA
1581,Monty Python and the Holy Grail,1975,Desperation ,Ivor Slaney ,NA,NA,NA,NA,NA,NA,NA,NA,NA
1582,There Will Be Blood,2007,Popcorn Superhet Receiver ,NA,BBC Concert Orchestra (as The BBC Concert Orchestra) ,Jonny Greenwood ,NA,NA,NA,NA,Robert Ziegler,NA,NA
1583,There Will Be Blood,2007,Violin Concerto in D Major Op.77:3. Vivace Non Troppo ,NA,Berliner Philharmoniker ,Johannes Brahms ,NA,NA,NA,"Deutsche Grammophon GmbH, Hamburg ",Herbert von Karajan ,NA,Universal Music Enterprises
1584,There Will Be Blood,2007,Smear ,NA,London Sinfonietta (as The London Sinfonietta) ,Jonny Greenwood ,NA,NA,NA,NA,Martyn Brabbins ,NA,NA
1585,There Will Be Blood,2007,Pärt: Fratres for Cello and Piano ,NA,"I Fiamminghi (as I Fiamminghi, The Orchestra of Flanders) ",Arvo Pärt (as Arvo Part) ,NA,NA,NA,Telarc International Corporation,Rudolf Werthen ,NA,NA
1586,There Will Be Blood,2007,What a Friend We Have in Jesus ,Joseph M. Scriven (as Joseph Scriven) and Charles Crozat Converse (as Charles Converse) ,Church of the Third Revelation,NA,NA,NA,NA,NA,NA,NA,NA
1587,There Will Be Blood,2007,There Is Power in the Blood ,Lewis E. Jones ,Church of the Third Revelation,NA,NA,NA,NA,NA,NA,NA,NA
1588,There Will Be Blood,2007,Gradh Geal Mo Chridh ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1589,The Truman Show,1998,"Piano Sonata No. 11 in A Major (K. 331) (300), Third Movement: Alla Turca ",NA,"Wilhelm Kempff, piano ",NA,NA,NA,NA,"Deutsche Grammophon Gesellschaft mbH., Hamburg ",NA,NA,NA
1590,The Truman Show,1998,The Beginning ,NA,NA,NA,NA,Philip Glass ,NA,Nonesuch Records ,NA,NA,NA
1591,The Truman Show,1998,Living Waters ,NA,NA,NA,NA,Philip Glass ,NA,Nonesuch Records ,NA,NA,NA
1592,The Truman Show,1998,Anthem - Part 1 ,NA,NA,NA,NA,Philip Glass ,NA,Nonesuch Records ,NA,NA,NA
1593,The Truman Show,1998,Opening ,NA,NA,NA,NA,Philip Glass ,NA,Nonesuch Records ,NA,NA,NA
1594,The Truman Show,1998,Twentieth Century Boy ,NA,The Big Six ,NA,NA,NA,NA,Vinyl Japan UK Limited,NA,NA,NA
1595,The Truman Show,1998,"Piano Concerto No. 1 in E Minor, Opus 11: Second Movement: 'Romance - Larghetto' ",NA,Artur Rubinstein ,NA,NA,NA,NA,BMG Classics/RCA Victor,Stanislaw Skrowaczewski ,NA,NA
1596,The Truman Show,1998,Scales to America ,NA,"David Hirschfelder and Orchestra Mary Doumany, Harp ",NA,NA,NA,NA,Philips Classics ,Ricky Edwards ,NA,NA
1597,The Truman Show,1998,"Horn Concerto No. 1 in D Major (K412), First Movement: Allegro ",NA,Philharmonia Baroque Orchestra ,NA,NA,NA,NA,Harmonia Mundi France ,Nicholas McGegan Soloist: Lowell Greer ,NA,NA
1598,The Truman Show,1998,Love Is Just Around the Corner ,NA,Jackie Davis ,NA,NA,NA,NA,Capitol Records ,NA,NA,EMI-Capitol Music Special Markets
1599,The Truman Show,1998,Wiegenlied (Lullaby) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1600,The Truman Show,1998,Underground ,NA,NA,NA,NA,Burkhard von Dallwitz ,NA,Media World Pty. Ltd.,NA,NA,NA
1601,The Truman Show,1998,Father Kolbe's Preaching ,NA,Polish State Philharmonic Orchestra (as Orchestre Philharmonique National de Pologne) ,NA,NA,NA,NA,Editions Jade,Kazimierz Kord ,NA,NA
1602,The Truman Show,1998,Truman Sleeps ,Philip Glass ,Philip Glass,NA,NA,NA,NA,NA,NA,NA,NA
1603,The Truman Show,1998,Raising the Sail ,Burkhard von Dallwitz ,Burkhard von Dallwitz,NA,NA,NA,NA,NA,NA,NA,NA
1604,The Truman Show,1998,It's a Life ,Burkhard von Dallwitz ,Burkhard von Dallwitz,NA,NA,NA,NA,NA,NA,NA,NA
1605,The Truman Show,1998,Anthem - Part 2 ,Philip Glass ,Philip Glass,NA,NA,NA,NA,NA,NA,NA,NA
1606,Yojimbo,1961,It looks like we don't have any Soundtracks for this title yet.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1607,The Treasure of the Sierra Madre,1948,Believe Me If All Those Endearing Young Charms ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1608,Shutter Island,2010,Lontano ,György Ligeti ,Berliner Philharmoniker (as Berlin Philharmonic) ,NA,NA,NA,NA,Warner Classics ,Jonathan Nott ,NA,NA
1609,Shutter Island,2010,Fog Tropes ,Ingram Marshall ,Orchestra of St. Luke's (as Orchestra of St. Lukes) ,NA,NA,NA,NA,Nonesuch Records ,John Adams ,NA,NA
1610,Shutter Island,2010,Symphony No. 3: Passacaglia - Allegro moderato ,Krzysztof Penderecki ,Narodowa Orkiestra Symfoniczna Polskiego Radia w Katowicach (as National Polish Radio Symphony) ,NA,NA,NA,NA,NA,Antoni Wit (as Antonio Wit) ,NA,NA
1611,Shutter Island,2010,Music for Marcel Duchamp ,John Cage ,Philipp Vandré ,NA,NA,NA,NA,Mode Records,NA,NA,NA
1612,Shutter Island,2010,Hommage á John Cage ,NA,NA,NA,NA,NA,NA,"Nam June Paik Studios, Inc.",NA,NA,NA
1613,Shutter Island,2010,Quattro Pezzi ,Giacinto Scelsi ,ORF Radio-Symphonieorchester Wien (as Vienna Radio Symphony Orchestra) ,NA,NA,NA,NA,Mode Records,NA,NA,NA
1614,Shutter Island,2010,Lontano ,György Ligeti ,Wiener Philharmoniker ,NA,NA,NA,NA,"Deutsche Grammophon GmbH, Hamburg ",Claudio Abbado ,NA,Universal Music Enterprises
1615,Shutter Island,2010,Rothko Chapel 2 ,Morton Feldman ,UC Berkeley Chamber Chorus ,NA,NA,NA,NA,"New Albion Records, Inc.",NA,NA,NA
1616,Shutter Island,2010,On the Nature of Daylight ,NA,NA,NA,NA,NA,NA,Fat Cat Records ,NA,NA,NA
1617,Shutter Island,2010,Uaxuctum: The Legend of the Mayan City Which They Themselves Destroyed for Religious Reasons ,Giacinto Scelsi ,ORF Radio-Symphonieorchester Wien (as Vienna Radio Symphony Orchestra) ,NA,NA,NA,NA,Mode Records,NA,NA,NA
1618,Shutter Island,2010,Pacific Sirens ,Robert Erickson ,Cleveland Chamber Symphony ,NA,NA,NA,NA,New World Records,Edwin London ,NA,NA
1619,Shutter Island,2010,The Lost Day ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1620,Shutter Island,2010,Four Hymns: II for Cello and Double Bass ,Alfred Schnittke (as Alfred Schnittke) ,Torleif Thedeen (as Torleif Thedéen) & Entcho Radoukanov ,NA,NA,NA,NA,BIS Records,NA,NA,NA
1621,Shutter Island,2010,Lizard Point ,"Brian Eno, Michael Beinhorn, Axel Gros & Bill Laswell ",Brian Eno ,NA,NA,NA,NA,Virgin Records Ltd. ,NA,NA,EMI Music Marketing
1622,Shutter Island,2010,Suite for Symphonic Strings: Nocturne ,Lou Harrison ,The New Professionals Orchestra ,NA,NA,NA,NA,Mode Records,Rebecca Miller ,NA,NA
1623,Shutter Island,2010,Christian Zeal and Activity ,John Adams ,San Francisco Symphony (as The San Francisco Symphony) ,NA,NA,NA,NA,Nonesuch Records ,Edo de Waart ,NA,NA
1624,Shutter Island,2010,Root of an Unfocus ,John Cage ,Boris Berman ,NA,NA,NA,NA,NA,NA,NA,NA
1625,Shutter Island,2010,Fluorescences ,Krzysztof Penderecki ,Narodowa Orkiestra Symfoniczna Polskiego Radia w Katowicach (as National Polish Radio Symphony) ,NA,NA,NA,NA,NA,Antoni Wit (as Antonio Wit) ,NA,NA
1626,Shutter Island,2010,My Father Knew Charles Ives: The Lake ,John Adams ,'B.B.C. Symphony Orchestra' (as BBC Symphony Orchestra) ,NA,NA,NA,NA,Nonesuch Records ,John Adams ,NA,NA
1627,Shutter Island,2010,Fragor ,NA,NA,NA,NA,NA,NA,Mode Records,NA,NA,NA
1628,Shutter Island,2010,Prelude - The Bay ,NA,NA,NA,NA,NA,NA,New Albion Records,NA,NA,NA
1629,Shutter Island,2010,Two Etudes Harmonies ,György Ligeti ,Hans-Ola Ericsson ,NA,NA,NA,NA,BIS Records,NA,NA,NA
1630,Shutter Island,2010,Quartet for Piano and Strings in A minor ,Gustav Mahler ,Prazak Quartet ,NA,NA,NA,NA,"Praga Digitals, France [Heard on phonograph in Max von Sydow's office]",NA,NA,NA
1631,Shutter Island,2010,Quartet for Piano and Strings in A minor ,Gustav Mahler ,Christopher Hoffman [Heard on phonograph in commandant's office in Dachau],NA,NA,NA,NA,NA,NA,NA,NA
1632,Shutter Island,2010,Cry ,Churchill Kohlman ,Johnnie Ray ,NA,NA,NA,NA,"Columbia Records and The Columbia/Epic Label Group, a unit of Sony Music Entertainment, ",NA,NA,NA
1633,Shutter Island,2010,Wheel of Fortune ,Bennie Benjamin & George David Weiss ,Kay Starr ,NA,NA,NA,NA,Capitol Records ,NA,NA,EMI Film & Television Music
1634,Shutter Island,2010,Tomorrow Night ,Sam Coslow & Will Grosz (as Wilhelm Grosz) ,Lonnie Johnson ,NA,NA,NA,NA,"Gusto Records, Inc.",NA,NA,NA
1635,Shutter Island,2010,On the Nature of Daylight ,NA,NA,NA,NA,NA,NA,Fat Cat Records ,NA,NA,NA
1636,Shutter Island,2010,This Bitter Earth ,Clyde Otis ,Dinah Washington ,NA,NA,NA,NA,The Verve Music Group ,NA,NA,Universal Music Enterprises
1637,The Great Escape,1963,It looks like we don't have any Soundtracks for this title yet.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1638,Rashomon,1950,Woman's Tale Theme (Bolero) ,"Fumio Hayasaka inspired by Maurice Ravel's ""Bolero"", using the same background rhythm, and similar orchestration and build-up, but different melodic lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA
1639,Jurassic Park,1993,Las Gaviotas ,Dolores Guadalupe Olivares (as Dolores Ayala Olivares) ,The Madacy Mariachi Band ,NA,NA,NA,NA,Madacy Music Group,NA,NA,NA
1640,Kill Bill: Vol. 1,2003,Bang Bang (My Baby Shot Me Down) ,Sonny Bono ,Nancy Sinatra ,NA,NA,NA,NA,"Boots Enterprises, Inc. ",NA,NA,NA
