,name,year,song_name,written_by,performed_by,composed_by,lyrics_by,written_performed_by,music_by,courtesy_of,conducted_by,libretto_by,under_license_from
63,Pulp Fiction,1994,Let's Stay Together ,"Al Green, Al Jackson Jr., and Willie Mitchell ",Al Green ,NA,NA,NA,NA,HI Records Under License From CEMA Special Markets,NA,NA,NA
64,Pulp Fiction,1994,Son Of A Preacher Man ,"John Hurley, Ronnie Wilkins ",Dusty Springfield ,NA,NA,NA,NA,Atlantic Recording Corp. ,NA,NA,NA
65,Pulp Fiction,1994,Bullwinkle Part II ,"Dennis Rose, Ernest Furrow ",The Centurians ,NA,NA,NA,NA,"Del-Fi Records, Inc.",NA,NA,NA
66,Pulp Fiction,1994,Waitin' In School ,Johnny Burnette and Dorsey Burnette ,Gary Shorelle ,NA,NA,NA,NA,NA,NA,NA,NA
67,Pulp Fiction,1994,Lonesome Town ,Baker Knight ,Ricky Nelson ,NA,NA,NA,NA,"EMI Records USA, A Division of ERG Under License From CEMA Special Markets",NA,NA,NA
68,Pulp Fiction,1994,Ace Of Spades ,Link Wray (as F.L. Wray Sr.) and Milt Grant (as M. Cooper) ,Link Wray ,NA,NA,NA,NA,"Rollercoaster Records, England",NA,NA,NA
69,Pulp Fiction,1994,Rumble ,Link Wray (as F.L. Wray Sr.) and Milt Grant (as M. Cooper) ,Link Wray And His Raymen ,NA,NA,NA,NA,"Rollercoaster Records, England",NA,NA,NA
70,Pulp Fiction,1994,Since I First Met You ,H.B. Barnum ,The Robins ,NA,NA,NA,NA,GNP Crescendo Records,NA,NA,NA
71,Pulp Fiction,1994,Teenagers In Love ,William Rosenauer ,Woody Thorne ,NA,NA,NA,NA,GNP Crescendo Records,NA,NA,NA
72,Pulp Fiction,1994,You Never Can Tell ,Chuck Berry ,Chuck Berry ,NA,NA,NA,NA,MCA Records,NA,NA,NA
73,Pulp Fiction,1994,"Girl, You'll Be A Woman Soon ",Neil Diamond ,Urge Overkill ,NA,NA,NA,NA,"Touch And Go Records, Inc.",NA,NA,NA
74,Pulp Fiction,1994,If Love Is A Red Dress (Hang Me In Rags) ,Maria McKee ,Maria McKee ,NA,NA,NA,NA,Geffen Records,NA,NA,NA
75,Pulp Fiction,1994,Flowers On The Wall ,Lew DeWitt (as Lewis DeWitt) ,The Statler Brothers ,NA,NA,NA,NA,Mercury/Nashville By Arrangement With Polygram Special Markets,NA,NA,NA
76,Pulp Fiction,1994,Out Of Limits ,Michael Z. Gordon (as Michael Gordon) ,The Marketts ,NA,NA,NA,NA,Go-Jo Music,NA,NA,NA
77,Pulp Fiction,1994,Surf Rider ,"Bob Bogle, Nole Edwards, Don Wilson ",The Lively Ones ,NA,NA,NA,NA,Del-Fi Records Inc. ,NA,NA,NA
78,Pulp Fiction,1994,Comanche ,The Revels ,The Revels ,NA,NA,NA,NA,Downey Records,NA,NA,NA
79,Pulp Fiction,1994,"Ole, Ole ",NA,NA,NA,NA,NA,David Snell ,Associated Production Music,NA,NA,NA
80,The Lord of the Rings: The Fellowship of the Ring,2001,Flaming Red Hair ,NA,NA,NA,NA,NA,NA,Mana Music,NA,NA,NA
81,The Lord of the Rings: The Fellowship of the Ring,2001,The Road Goes Ever On ,NA,Ian McKellen and Ian Holm,NA,J.R.R. Tolkien ,NA,Howard Shore ,NA,NA,NA,NA
82,The Lord of the Rings: The Fellowship of the Ring,2001,In Dreams ,Fran Walsh and Howard Shore ,Edward Ross ,NA,NA,NA,NA,Reprise Records,NA,NA,NA
83,The Lord of the Rings: The Fellowship of the Ring,2001,May It Be ,Enya and Roma Ryan ,Enya Played during the end credits,NA,NA,NA,NA,NA,NA,NA,NA
84,The Lord of the Rings: The Fellowship of the Ring,2001,Aníron ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,The Lord of the Rings: The Fellowship of the Ring,2001,To The Bottle I Go ,Fran Walsh and Philippa Boyens ,"Billy Boyd, Dominic Monaghan and Elijah Wood",NA,NA,NA,NA,NA,NA,NA,NA
86,The Lord of the Rings: The Fellowship of the Ring,2001,The Song of Beren and Luthien ,NA,Viggo Mortensen,NA,J.R.R. Tolkien ,NA,Howard Shore ,NA,NA,NA,NA
87,"The Good, the Bad and the Ugly",1966,The Story Of A Soldier ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,"The Good, the Bad and the Ugly",1966,The Ecstasy of Gold ,Ennio Morricone,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,Forrest Gump,1994,Lovesick Blues ,NA,Hank Williams ,NA,NA,NA,NA,PolyGram Special Markets,NA,NA,NA
90,Forrest Gump,1994,Hound Dog ,NA,Elvis Presley (uncredited),NA,NA,NA,NA,NA,NA,NA,NA
91,Forrest Gump,1994,Rebel Rouser ,NA,Duane Eddy ,NA,NA,NA,NA,Jamie Records,NA,NA,NA
92,Forrest Gump,1994,(I Don't Know Why) But I Do ,NA,Clarence 'Frogman' Henry ,NA,NA,NA,NA,MCA Records,NA,NA,NA
93,Forrest Gump,1994,Walk Right In ,NA,The Rooftop Singers ,NA,NA,NA,NA,Vanguard Records/A Welk Music Group Co. ,NA,NA,NA
94,Forrest Gump,1994,Sugar Shack ,NA,Jimmy Gilmer and The Fireballs ,NA,NA,NA,NA,Dundee Music,NA,NA,NA
95,Forrest Gump,1994,Paramount Newsreel Music ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,Forrest Gump,1994,Camelot ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,Forrest Gump,1994,Pomp and Circumstance ,NA,Dresdner Philharmonie ,NA,NA,NA,NA,Laserlight,Herbert Kegel ,NA,NA
98,Forrest Gump,1994,Hanky Panky ,NA,Tommy James & The Shondells ,NA,NA,NA,NA,Rhino Records ,NA,NA,NA
99,Forrest Gump,1994,Blowin' in the Wind ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,Forrest Gump,1994,Land of 1000 Dances ,NA,Wilson Pickett ,NA,NA,NA,NA,Atlantic Recording Corp. ,NA,NA,NA
101,Forrest Gump,1994,Fortunate Son ,NA,Creedence Clearwater Revival ,NA,NA,NA,NA,Fantasy Records,NA,NA,NA
102,Forrest Gump,1994,I Can't Help Myself (Sugar Pie Honey Bunch) ,NA,The Four Tops ,NA,NA,NA,NA,Motown Record Company L.P. ,NA,NA,NA
103,Forrest Gump,1994,Respect ,NA,Aretha Franklin ,NA,NA,NA,NA,Atlantic Recording Corp. ,NA,NA,NA
104,Forrest Gump,1994,Rainy Day Women #12 & 35 ,NA,NA,NA,NA,Bob Dylan ,NA,Columbia Records ,NA,NA,NA
105,Forrest Gump,1994,Sloop John B ,NA,The Beach Boys ,NA,NA,NA,NA,Capitol Records ,NA,NA,CEMA Special Markets
106,Forrest Gump,1994,All Along The Watchtower ,NA,The Jimi Hendrix Experience ,NA,NA,NA,NA,Elber B.V.,NA,NA,NA
107,Forrest Gump,1994,Soul Kitchen ,"Jim Morrison (as The Doors), Ray Manzarek (as The Doors), Robby Krieger (as The Doors) and John Densmore (as The Doors) ",The Doors ,NA,NA,NA,NA,Elektra Entertainment ,NA,NA,NA
108,Forrest Gump,1994,California Dreamin' ,NA,The Mamas and the Papas ,NA,NA,NA,NA,MCA Records,NA,NA,NA
109,Forrest Gump,1994,For What It's Worth ,NA,Buffalo Springfield ,NA,NA,NA,NA,ATCO Records ,NA,NA,NA
110,Forrest Gump,1994,What the World Needs Now is Love ,NA,Jackie DeShannon (as Jackie De Shannon) ,NA,Hal David ,NA,Burt Bacharach ,"EMI Records USA, a division of ERG ",NA,NA,CEMA Special Markets
111,Forrest Gump,1994,Webster's Boomer ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,Forrest Gump,1994,"Hello, I Love You ","Jim Morrison (as The Doors), Ray Manzarek (as The Doors), Robby Krieger (as The Doors) and John Densmore (as The Doors) ",The Doors ,NA,NA,NA,NA,Elektra Entertainment ,NA,NA,NA
113,Forrest Gump,1994,People Are Strange ,"Jim Morrison (as The Doors), Ray Manzarek (as The Doors), Robby Krieger (as The Doors) and John Densmore (as The Doors) ",The Doors ,NA,NA,NA,NA,Elektra Entertainment ,NA,NA,NA
114,Forrest Gump,1994,Break On Through (To the Other Side) ,"Jim Morrison (as The Doors), Ray Manzarek (as The Doors), Robby Krieger (as The Doors) and John Densmore (as The Doors) ",The Doors ,NA,NA,NA,NA,Elektra Entertainment ,NA,NA,NA
