song_id,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,cluster_id
133.0,0.00913,0.232,0.756,0.00316,0.682,0.0477,0.497,368.0
134.0,0.958,0.11,0.122,0.871,0.0758,0.038,0.039,127.0
135.0,0.793,0.608,0.513,1.39e-05,0.107,0.0467,0.796,99.0
136.0,0.181,0.596,0.605,0.000331,0.0863,0.0255,0.886,62.0
137.0,0.958,0.11,0.122,0.871,0.0758,0.038,0.039,127.0
138.0,0.793,0.608,0.513,1.39e-05,0.107,0.0467,0.796,99.0
139.0,0.793,0.608,0.513,1.39e-05,0.107,0.0467,0.796,99.0
140.0,0.0305,0.537,0.81,0.000113,0.283,0.032,0.406,475.0
141.0,0.161,0.881,0.926,0.0,0.0595,0.0424,0.965,326.0
142.0,0.0219,0.597,0.812,0.00106,0.102,0.0315,0.823,237.0
143.0,0.687,0.731,0.716,0.000882,0.597,0.0417,0.777,289.0
144.0,0.28,0.674,0.771,0.0318,0.133,0.0246,0.718,186.0
145.0,0.0047,0.249,0.651,0.0125,0.258,0.0466,0.0894,487.0
146.0,0.498,0.558,0.469,0.0472,0.0762,0.0439,0.753,83.0
147.0,0.612,0.679,0.333,0.947,0.131,0.0264,0.639,167.0
148.0,0.00158,0.701,0.9,0.946,0.626,0.129,0.506,113.0
149.0,0.844,0.661,0.342,0.000128,0.26,0.043,0.588,7.0
150.0,0.321,0.32,0.525,0.0,0.165,0.0408,0.147,306.0
151.0,0.954,0.612,0.273,0.926,0.111,0.0308,0.241,174.0
152.0,0.954,0.612,0.273,0.926,0.111,0.0308,0.241,174.0
153.0,0.954,0.612,0.273,0.926,0.111,0.0308,0.241,174.0
154.0,0.934,0.407,0.323,0.0,0.449,0.0351,0.464,104.0
155.0,0.751,0.468,0.235,0.00132,0.136,0.0257,0.201,375.0
156.0,0.954,0.612,0.273,0.926,0.111,0.0308,0.241,174.0
157.0,0.0193,0.427,0.452,0.00284,0.0759,0.0468,0.276,241.0
158.0,0.00667,0.548,0.421,0.000434,0.19,0.0311,0.274,233.0
159.0,0.735,0.301,0.419,0.0,0.247,0.0326,0.398,419.0
160.0,0.0711,0.518,0.433,0.79,0.42,0.0313,0.0892,269.0
161.0,0.905,0.125,0.164,0.0283,0.0903,0.0361,0.0377,397.0
162.0,0.96,0.122,0.0407,0.847,0.104,0.0457,0.0342,127.0
163.0,0.928,0.142,0.044,0.87,0.112,0.038,0.0364,127.0
164.0,0.728,0.0758,0.426,0.941,0.149,0.0422,0.0616,254.0
165.0,0.957,0.0703,0.0789,0.889,0.109,0.0495,0.0313,80.0
166.0,0.819,0.531,0.289,0.721,0.191,0.0316,0.15,194.0
167.0,0.0351,0.646,0.602,0.819,0.0635,0.0281,0.662,497.0
168.0,0.000581,0.431,0.557,0.845,0.144,0.0319,0.0395,4.0
169.0,0.000581,0.431,0.557,0.845,0.144,0.0319,0.0395,4.0
170.0,0.000581,0.431,0.557,0.845,0.144,0.0319,0.0395,4.0
171.0,0.000581,0.431,0.557,0.845,0.144,0.0319,0.0395,4.0
172.0,0.000581,0.431,0.557,0.845,0.144,0.0319,0.0395,4.0
173.0,0.933,0.58,0.47,0.743,0.098,0.168,0.738,222.0
174.0,0.000509,0.434,0.568,0.849,0.151,0.0318,0.039,4.0
175.0,0.948,0.786,0.16,0.0,0.437,0.0762,0.46,380.0
176.0,4.99e-05,0.513,0.937,0.872,0.132,0.0443,0.367,340.0
177.0,0.000581,0.431,0.557,0.845,0.144,0.0319,0.0395,4.0
178.0,0.0113,0.6,0.431,0.0215,0.206,0.0379,0.115,440.0
179.0,0.907,0.409,0.435,7.17e-06,0.0559,0.0453,0.567,461.0
180.0,0.696,0.423,0.423,0.0,0.0812,0.0354,0.889,132.0
181.0,0.13,0.162,0.61,0.128,0.106,0.0627,0.0601,286.0
182.0,0.000805,0.354,0.862,7.68e-05,0.0307,0.0721,0.816,40.0
183.0,0.515,0.51,0.344,0.912,0.415,0.0464,0.529,111.0
184.0,0.277,0.583,0.517,0.0,0.0993,0.0482,0.947,484.0
185.0,0.89,0.207,0.171,0.000704,0.28,0.0338,0.11,159.0
186.0,0.676,0.263,0.324,0.000278,0.211,0.0338,0.213,67.0
187.0,0.51,0.585,0.488,0.0,0.0958,0.211,0.256,63.0
188.0,0.0106,0.693,0.711,0.0,0.241,0.193,0.191,266.0
189.0,0.6,0.467,0.26,1.78e-06,0.103,0.0287,0.351,148.0
190.0,0.722,0.638,0.44,0.0,0.515,0.0348,0.904,163.0
