song_id,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,cluster_id,movie,name
1099,0.779,0.206,0.198,0.736,0.137,0.0481,0.0663,382,L.A. Confidential,The Christmas Blues 
1488,0.828,0.207,0.265,0.904,0.158,0.0369,0.0383,382,Pan's Labyrinth,Guerilleros 
1625,0.802,0.163,0.143,0.978,0.118,0.0451,0.0399,382,Finding Nemo,"Twinkle, Twinkle, Little Star "
1833,0.789,0.164,0.24,0.801,0.0998,0.0371,0.0338,382,Prisoners,Following Keller 
2541,0.788,0.149,0.253,0.81,0.105,0.0392,0.0736,382,Band of Brothers,Band Of Brothers (Suite One) 
2545,0.817,0.214,0.138,0.875,0.231,0.0399,0.0282,382,Chernobyl,Turbine Hall 
2571,0.839,0.181,0.182,0.888,0.156,0.0349,0.0496,382,Fullmetal Alchemist: Brotherhood,Horoguramu 
2572,0.839,0.181,0.182,0.888,0.156,0.0349,0.0496,382,Fullmetal Alchemist: Brotherhood,Gôruden Taimu Rabâ 
2573,0.839,0.181,0.182,0.888,0.156,0.0349,0.0496,382,Fullmetal Alchemist: Brotherhood,Period 
2574,0.839,0.181,0.182,0.888,0.156,0.0349,0.0496,382,Fullmetal Alchemist: Brotherhood,Rein 
2575,0.839,0.181,0.182,0.888,0.156,0.0349,0.0496,382,Fullmetal Alchemist: Brotherhood,Uso 
2578,0.839,0.181,0.182,0.888,0.156,0.0349,0.0496,382,Fullmetal Alchemist: Brotherhood,Shunkan Senchimentaru 
2737,0.767,0.189,0.224,0.835,0.11,0.0353,0.0339,382,Daredevil,Wilson Fisk 
2862,0.73,0.193,0.142,0.812,0.295,0.0377,0.0332,382,The Haunting of Hill House,It looks like we don't have any Soundtracks for this title yet.
2585,0.59,0.261,0.607,0.898,0.384,0.0593,0.0693,383,Batman: The Animated Series,Batman The Animated Series 
2586,0.59,0.261,0.607,0.898,0.384,0.0593,0.0693,383,Batman: The Animated Series,Batman 
57,0.516,0.474,0.915,0.923,0.262,0.0479,0.463,384,Pulp Fiction,Misirlou 
799,0.7,0.399,0.89,0.891,0.0966,0.0742,0.574,384,Inglourious Basterds,Algeri: 1 Novembre 1954 (Battle of Algiers) 
993,0.655,0.346,0.806,0.913,0.419,0.0508,0.444,384,Lawrence of Arabia,End Title 
707,0.341,0.927,0.4,0,0.127,0.353,0.844,385,Spider-Man: Into the Spider-Verse,Hypnotize 
2119,0.297,0.751,0.343,0,0.163,0.327,0.959,385,Hotel Rwanda,Mwali Wei 
2895,0.00404,0.622,0.758,0,0.38,0.0321,0.594,386,Dragon Ball,It looks like we don't have any Soundtracks for this title yet.
2920,0.132,0.599,0.727,4.48E-06,0.364,0.0373,0.616,386,Samurai Champloo,Shiki No Uta 
2922,0.132,0.599,0.727,4.48E-06,0.364,0.0373,0.616,386,Samurai Champloo,You 
