song_name,artist,pos_percent,spotify_id,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
All I Want,Ashley Price,0.490039841,6pz8ksOVgKuwMT2REEeXbK,0.017,0.344,0.473,0,0.0986,0.0422,0.209
Hold on I Still Want You,Nathan Sean,0.581151832,5lemcblP99b03c3vRKq4f8,0.809,0.663,0.248,3.73E-05,0.0937,0.0881,0.098
Infinity,Jaymes Young,0.9,1SOClUWhOi8vHZYMz3GluK,0.148,0.671,0.673,5.29E-05,0.304,0.0444,0.494
Lover,Taylor Swift,0.839215686,1dGr1c8CrMLDpV6mPbImSI,0.492,0.359,0.543,1.58E-05,0.118,0.0919,0.453
What About Us,P!nk,0.699300699,0Qh38w01QRXK6KHIv0e3hb,0.0281,0.491,0.588,2.01E-06,0.0906,0.0506,0.193
Walk Me Home,P!nk,0.315217391,7DHApOHsIFo7EyfieArYGE,0.0507,0.652,0.453,0,0.179,0.0445,0.432
A Million Dreams,P!nk,0.654275093,0oagwWkGlBoACUuKvTmqZV,0.272,0.312,0.499,0,0.0901,0.0397,0.191
Rewrite The Stars,Zac Efron,0.392857143,630sXRhIcfwr2e4RdNtjKN,0.0716,0.684,0.619,0,0.122,0.0386,0.284
Already Gone,Sleeping At Last,0.493197279,5zCunX8URvLoBHlg1Fnjv6,0.954,0.418,0.248,4.21E-06,0.108,0.0451,0.298
If the World Was Ending (feat. Julia Michaels),JP Saxe,0.609665428,2kJwzbxV2ppxnQoYw4GLBZ,0.866,0.464,0.473,0,0.109,0.129,0.604
What A Time (feat. Niall Horan),Julia Michaels,0.557768924,5WtfUKzXircvW8l5aaVZWT,0.662,0.516,0.467,0,0.0853,0.0302,0.386
Electric Love,BØRNS,0.856603774,2GiJYvgVaD2HtM8GqD9EgQ,0.00543,0.611,0.797,0.00137,0.26,0.0533,0.518
Backyard Boy,Claire Rosinkranz,0.709821429,0QpOqKz66ZxHNqj2PPHiFF,0.321,0.817,0.634,0,0.0735,0.162,0.453
Make You Mine,PUBLIC,0.704081633,5iFwAOB2TFkPJk8sMlxP8g,0.0128,0.606,0.799,0,0.15,0.0261,0.638
