spotify_cluster_id,movie_cluster_id
255.0,30.0
362.0,147.0
442.0,31.0
185.0,410.0
183.0,204.0
151.0,49.0
430.0,156.0
222.0,44.0
29.0,140.0
270.0,58.0
0.0,160.0
462.0,28.0
258.0,374.0
24.0,463.0
487.0,29.0
56.0,299.0
90.0,15.0
486.0,12.0
163.0,487.0
278.0,95.0
280.0,112.0
437.0,444.0
111.0,347.0
274.0,153.0
168.0,400.0
144.0,73.0
363.0,411.0
309.0,82.0
494.0,358.0
429.0,242.0
126.0,427.0
245.0,269.0
347.0,60.0
443.0,14.0
491.0,497.0
457.0,172.0
101.0,52.0
474.0,146.0
180.0,101.0
298.0,387.0
143.0,309.0
40.0,398.0
475.0,308.0
147.0,98.0
328.0,415.0
63.0,133.0
493.0,418.0
283.0,353.0
349.0,326.0
97.0,312.0
19.0,120.0
98.0,10.0
405.0,440.0
228.0,255.0
181.0,149.0
313.0,432.0
369.0,437.0
455.0,462.0
292.0,447.0
411.0,484.0
201.0,488.0
232.0,285.0
261.0,80.0
454.0,439.0
424.0,459.0
152.0,139.0
389.0,9.0
137.0,461.0
394.0,335.0
42.0,124.0
107.0,198.0
327.0,379.0
116.0,429.0
80.0,365.0
318.0,263.0
250.0,94.0
312.0,20.0
287.0,262.0
435.0,416.0
178.0,48.0
196.0,145.0
51.0,190.0
75.0,40.0
194.0,343.0
473.0,90.0
338.0,143.0
293.0,407.0
367.0,421.0
65.0,241.0
216.0,394.0
21.0,485.0
157.0,229.0
66.0,251.0
334.0,179.0
89.0,157.0
409.0,180.0
242.0,495.0
102.0,273.0
70.0,476.0
301.0,351.0
117.0,310.0
339.0,450.0
198.0,26.0
490.0,385.0
112.0,212.0
187.0,117.0
160.0,250.0
93.0,155.0
230.0,206.0
345.0,50.0
156.0,279.0
402.0,56.0
471.0,166.0
73.0,307.0
238.0,391.0
307.0,92.0
104.0,265.0
174.0,340.0
6.0,214.0
295.0,115.0
231.0,438.0
84.0,158.0
48.0,224.0
302.0,159.0
465.0,63.0
69.0,18.0
410.0,405.0
357.0,458.0
155.0,237.0
376.0,377.0
331.0,395.0
188.0,202.0
175.0,136.0
92.0,254.0
108.0,225.0
422.0,72.0
306.0,119.0
352.0,218.0
303.0,169.0
453.0,71.0
145.0,181.0
136.0,270.0
305.0,311.0
452.0,402.0
140.0,75.0
321.0,174.0
385.0,65.0
267.0,199.0
441.0,205.0
286.0,232.0
466.0,54.0
259.0,97.0
23.0,33.0
468.0,441.0
395.0,321.0
407.0,246.0
10.0,178.0
122.0,291.0
205.0,194.0
417.0,419.0
213.0,2.0
358.0,0.0
485.0,470.0
85.0,130.0
114.0,208.0
206.0,331.0
246.0,248.0
106.0,67.0
317.0,162.0
489.0,355.0
492.0,430.0
282.0,209.0
123.0,249.0
223.0,323.0
310.0,13.0
161.0,375.0
118.0,113.0
336.0,289.0
